Geneid	AN14028316	AN14028318	AN14028320	AN14028322	AN14028324	AN14028326	AN14028328	AN14028330
DDX11L1	3	0	0	0	1	0	0	0
WASH7P	155	112	57	65	20	9	7	17
MIR6859-1	8	1	1	4	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0
OR4F5	1	0	0	0	1	0	0	0
LOC729737	365	343	203	237	81	50	48	74
LOC100132287	13	7	6	5	3	3	4	1
OR4F29	0	0	0	0	1	1	0	0
LOC101928626	0	0	1	0	0	1	0	0
MIR12136	31	19	25	20	78	60	36	51
OR4F16	0	0	0	0	0	0	0	0
LOC100133331	200	206	140	125	60	50	68	57
LOC100288069	60	70	45	68	49	14	32	21
FAM87B	11	7	9	0	6	11	9	2
LINC00115	56	38	21	30	14	16	31	17
LINC01128	297	442	330	331	565	405	282	285
FAM41C	1	0	0	2	0	2	5	0
LINC02593	3	2	2	2	2	6	0	2
SAMD11	5	4	0	0	0	0	0	1
NOC2L	7515	7082	3704	4000	1237	770	1031	1298
KLHL17	424	227	91	69	25	18	24	54
PLEKHN1	280	159	53	50	12	5	4	4
PERM1	2	1	0	0	0	0	1	0
HES4	133	81	34	31	16	2	8	28
ISG15	1113	594	363	301	94	49	39	51
AGRN	11829	7124	3172	2953	1533	1031	918	1238
LOC100288175	187	227	143	125	79	56	31	62
RNF223	12	5	10	10	3	0	6	2
C1orf159	358	199	85	69	57	20	28	44
LINC01342	4	7	2	4	0	0	3	3
MIR200B	0	0	0	1	0	0	0	0
MIR200A	0	3	2	1	1	0	0	0
MIR429	3	15	6	8	0	4	1	2
TTLL10	15	2	18	19	0	0	4	2
TNFRSF18	4	2	2	9	0	0	2	0
TNFRSF4	8	2	0	0	0	0	0	0
SDF4	4071	3657	1972	2035	848	528	448	725
B3GALT6	672	747	508	510	343	284	223	260
C1QTNF12	6	8	6	8	6	0	1	2
UBE2J2	1197	1408	920	973	573	384	536	613
SCNN1D	32	10	8	9	2	2	2	6
ACAP3	1088	883	317	351	106	57	75	103
MIR6726	0	0	0	0	0	0	0	0
SNORD167	12	6	4	2	0	0	0	0
PUSL1	653	438	180	155	33	22	40	84
INTS11	2603	2221	1076	1085	614	398	410	550
MIR6727	0	0	0	0	0	0	0	0
CPTP	1172	712	286	231	108	79	89	142
TAS1R3	8	0	3	0	2	0	2	1
DVL1	2988	1587	674	606	153	95	244	333
MIR6808	0	0	0	0	0	0	0	0
MXRA8	190	188	151	198	77	67	116	144
AURKAIP1	2990	2430	983	935	319	205	196	288
CCNL2	6255	7412	4106	4561	3151	2554	4682	5622
MRPL20-AS1	942	1094	405	393	284	157	181	288
MRPL20	2285	2670	1963	2454	1322	1027	996	1223
ANKRD65	2	4	38	54	0	0	18	40
TMEM88B	0	0	0	0	0	0	0	0
LINC01770	0	0	2	0	0	0	0	2
VWA1	0	0	23	17	2	0	11	20
ATAD3C	287	303	63	89	2	1	47	62
ATAD3B	1519	1111	435	477	117	68	132	185
ATAD3A	2075	1350	628	542	132	69	181	265
TMEM240	3	2	0	0	0	0	0	4
SSU72	4247	5084	3887	4363	3198	2390	2683	3150
FNDC10	1579	833	257	216	52	41	68	59
LOC105378586	16	26	6	4	5	7	4	6
MIB2	550	239	58	51	30	22	13	40
MMP23B	0	1	2	0	0	0	0	1
CDK11B	1086	1137	722	723	347	282	526	664
SLC35E2B	1947	2139	1033	1100	1350	1041	1183	1328
MMP23A	4	0	0	4	0	0	1	1
CDK11A	859	1067	710	933	582	527	767	967
SLC35E2A	951	1148	587	526	660	529	611	747
NADK	1999	1969	1402	1410	1030	679	705	964
GNB1	19977	23521	15669	18047	16093	13106	13165	15342
CALML6	4	4	1	2	0	0	1	0
TMEM52	90	69	18	20	2	5	4	8
CFAP74	0	2	0	0	2	0	4	2
GABRD	0	0	0	0	0	0	0	0
LOC105378591	6	0	0	0	0	0	0	0
PRKCZ	960	1028	472	516	412	288	232	322
PRKCZ-AS1	59	52	34	20	32	22	18	16
FAAP20	730	529	272	283	149	102	122	160
SKI	3548	3384	1666	1909	2663	2182	1984	2252
MORN1	304	229	106	88	51	41	41	56
LOC100129534	126	161	18	34	42	38	5	21
RER1	4534	5637	4105	4718	3646	2910	3283	3894
PEX10	1084	962	469	542	324	242	264	310
PLCH2	110	97	8	20	0	0	0	2
PANK4	645	638	392	423	228	130	151	244
HES5	0	2	0	0	0	0	0	0
TNFRSF14-AS1	5	2	0	3	0	0	0	1
TNFRSF14	61	45	10	14	2	0	6	0
LOC100996583	0	0	0	2	0	0	0	0
PRXL2B	504	513	57	51	110	79	38	46
MMEL1	0	0	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
PRDM16-DT	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	2	0
MIR4251	0	0	0	0	0	0	0	0
ARHGEF16	1087	829	277	288	116	111	97	86
MEGF6	1314	1058	204	238	374	320	250	314
MIR551A	0	0	0	0	0	0	0	0
TPRG1L	2831	3383	1808	1876	1747	1506	1305	1465
WRAP73	985	1183	689	678	339	190	246	328
TP73	24	21	3	12	47	39	0	6
TP73-AS1	1716	1784	878	935	758	614	536	664
CCDC27	0	0	4	3	3	0	1	1
SMIM1	25	20	6	0	5	4	4	4
LRRC47	2468	2612	1789	1907	1141	889	1210	1516
CEP104	2735	3355	1913	2211	1344	1165	1743	1835
DFFB	712	801	491	546	179	162	192	229
C1orf174	1216	1472	991	1132	523	389	683	785
LINC01134	177	179	30	30	15	11	7	9
LINC01346	4	1	0	0	0	0	0	0
LINC01345	1	2	0	0	0	0	0	0
LINC01777	5	5	2	1	2	0	1	2
LINC01646	0	0	0	2	2	0	0	0
AJAP1	11631	14098	8863	10146	16896	14021	8960	10723
MIR4689	1	0	0	0	0	0	0	0
NPHP4	469	426	174	194	92	46	41	45
KCNAB2	673	713	664	718	82	48	81	104
CHD5	10	11	10	3	7	18	4	0
RPL22	12303	16742	11241	14163	11992	10620	8836	10201
LOC102724450	8	1	2	3	1	1	0	3
RNF207	93	106	160	149	113	96	83	110
ICMT	3982	5229	4506	4748	3971	3429	2686	3255
LINC00337	21	12	10	5	33	22	2	4
HES3	0	0	0	0	0	0	0	0
GPR153	116	93	17	23	32	34	6	14
ACOT7	2512	2173	847	873	447	347	337	402
HES2	13	18	2	6	30	34	0	4
ESPN	61	38	10	19	43	15	18	19
MIR4252	0	0	0	0	0	0	0	0
TNFRSF25	313	225	108	127	35	26	36	32
PLEKHG5	1261	991	542	510	71	56	110	117
NOL9	1345	1887	1096	1233	869	691	798	923
TAS1R1	0	3	2	2	1	0	0	0
ZBTB48	577	520	234	240	161	147	128	150
KLHL21	1774	1673	1160	1147	315	228	483	646
PHF13	1033	1489	995	1051	974	738	960	1106
THAP3	155	132	76	85	59	25	49	75
DNAJC11	2867	3838	2513	2919	1496	1226	1537	1825
LINC01672	0	0	0	0	0	0	0	0
CAMTA1-DT	15	17	6	0	6	7	14	12
CAMTA1	1399	1783	916	1008	1271	1026	962	997
CAMTA1-AS2	0	0	0	0	0	0	0	0
VAMP3	4230	5769	3288	4007	2986	2574	2918	3102
PER3	632	769	293	321	625	538	824	902
UTS2	0	0	0	0	0	1	0	0
TNFRSF9	6	4	45	48	0	2	6	2
PARK7	6979	9157	7326	8601	5671	4692	4260	5120
ERRFI1	4604	6366	5269	6311	6322	5813	10435	11287
LINC01714	1	11	12	12	2	2	10	18
SLC45A1	0	1	2	0	0	2	2	0
RERE	3266	3298	2107	2388	5416	4417	3570	4194
RERE-AS1	6	9	5	1	3	3	6	0
SNORD128	0	1	2	2	0	0	0	1
ENO1	103656	119981	92601	101901	68903	51073	47680	57772
MIR6728	0	0	2	1	2	0	0	2
ENO1-AS1	28	24	18	13	8	6	10	9
CA6	0	0	0	0	0	0	2	0
SLC2A7	0	0	0	0	0	0	0	0
SLC2A5	0	2	0	0	2	0	1	0
GPR157	182	172	172	164	205	129	168	193
MIR34AHG	6	14	7	1	303	235	161	151
MIR34A	0	0	0	0	0	0	0	0
LNCTAM34A	0	2	0	0	40	22	9	3
H6PD	1319	1489	1166	1285	556	442	778	955
SPSB1	229	260	327	293	103	63	203	260
LINC02606	21	25	9	11	11	4	0	4
SLC25A33	423	740	662	782	843	748	1021	1168
TMEM201	1056	808	380	381	164	97	181	225
PIK3CD	585	582	191	201	183	189	168	215
PIK3CD-AS1	0	0	0	0	1	0	0	0
PIK3CD-AS2	50	49	15	17	23	27	24	39
CLSTN1	20006	22370	12842	14219	13476	10057	8302	9779
CTNNBIP1	1507	1585	809	871	733	641	659	866
LZIC	1803	2503	1839	2129	1710	1491	1849	2216
NMNAT1	664	909	828	921	797	602	981	1127
TMEM274P	0	3	4	2	3	2	0	1
MIR5697	2	0	0	0	0	0	0	2
RBP7	1506	1915	1392	1530	2109	1713	1643	1839
UBE4B	5724	7341	5162	6017	5115	4447	4903	5410
KIF1B	4231	6295	5656	6670	6532	5639	6733	7559
PGD	7258	9027	8265	9523	4711	3246	2715	3328
CENPS-CORT	0	1	0	1	2	2	0	2
CENPS	82	81	61	62	60	53	43	34
CORT	4	1	1	0	3	0	2	6
DFFA	8994	11289	7183	8055	5342	4433	7406	8772
PEX14	907	799	421	418	224	200	211	316
CASZ1	317	281	225	213	230	127	75	98
C1orf127	0	1	0	0	0	1	0	0
TARDBP	8112	11026	9199	11415	8764	7753	9457	10855
MASP2	74	126	41	60	238	148	108	126
SRM	2653	2317	1299	1259	240	143	242	309
EXOSC10	4828	6471	4232	4903	3884	3088	3318	3780
EXOSC10-AS1	27	14	7	19	4	3	0	4
MTOR	5200	6630	4147	4680	4363	3485	3252	3753
MTOR-AS1	0	0	2	0	0	2	0	0
ANGPTL7	1	0	0	0	0	0	0	1
UBIAD1	1040	1072	712	777	441	314	642	723
DISP3	0	1	0	0	2	0	0	0
LINC01647	0	0	0	0	0	0	0	0
FBXO2	174	128	160	169	147	60	145	176
FBXO44	468	432	172	190	256	141	197	226
FBXO6	62	47	65	61	37	22	17	22
MAD2L2	998	1039	644	720	445	267	292	360
DRAXIN	23	22	22	12	0	4	6	2
AGTRAP	1391	1302	716	673	316	181	202	271
C1orf167	0	0	0	0	0	0	0	0
C1orf167-AS1	0	0	0	0	0	0	0	0
MTHFR	390	495	417	448	496	351	404	467
CLCN6	1035	1087	1155	1237	583	443	714	798
NPPA-AS1	44	34	17	38	33	26	13	6
NPPA	25	48	17	28	13	12	4	2
NPPB	0	2	0	0	0	0	0	0
RNU5E-1	0	3	1	0	1	5	3	3
KIAA2013	2406	2251	1421	1558	684	472	469	710
PLOD1	3747	4071	4053	4259	2823	1615	1606	1879
MFN2	6075	7111	5305	5839	3734	2831	3498	4145
MIIP	935	705	327	345	110	51	101	159
MIR6729	0	0	0	0	0	0	0	0
TNFRSF8	489	370	80	98	0	0	0	0
MIR7846	0	0	0	0	0	0	0	0
TNFRSF1B	4	14	3	4	0	0	0	0
MIR4632	0	0	0	0	0	0	0	0
VPS13D	2779	3849	2844	3242	4386	3642	3293	3930
SNORA59A	6	2	7	1	4	3	5	0
DHRS3	45	52	255	204	310	188	156	198
MIR6730	0	0	1	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0
PRAMEF1	0	2	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	2	3	4	0	1	0	2	5
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0
HNRNPCL2	0	2	1	1	5	0	3	5
PRAMEF36P	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	81	89	0	4	42	34	1	0
PDPN	1279	1542	1097	1196	2277	1949	1254	1397
PRDM2	2625	3349	2752	3288	4800	4009	3100	3323
KAZN-AS1	0	0	2	0	9	17	0	4
KAZN	2347	2598	2490	2972	3767	2958	4222	5124
TMEM51-AS1	28	49	67	61	5	9	12	15
TMEM51	399	422	411	435	166	93	149	143
C1orf195	0	0	0	0	0	0	0	3
FHAD1	42	49	69	74	65	79	40	31
FHAD1-AS1	46	54	82	86	165	112	49	28
EFHD2	10177	9039	8043	8899	2776	1881	1915	2484
CTRC	0	2	4	4	3	0	0	1
CELA2A	0	0	0	0	0	0	0	0
CELA2B	1	5	3	2	4	7	6	3
CASP9	446	528	622	629	369	325	326	397
DNAJC16	1130	1405	1230	1433	1400	1304	1095	1273
SCARNA21B	0	0	1	0	0	0	1	0
AGMAT	57	64	550	572	160	148	187	235
DDI2	1765	2482	2735	3156	3180	2743	4640	5098
RSC1A1	2	1	0	0	2	1	1	4
PLEKHM2	3007	2554	2078	2027	988	692	997	1459
SLC25A34	16	14	15	22	16	13	6	18
SLC25A34-AS1	0	11	0	4	0	0	0	0
TMEM82	1	0	2	2	0	0	0	0
FBLIM1	7024	7221	4594	4746	1216	808	2051	2702
UQCRHL	514	663	655	800	775	572	554	585
FLJ37453	113	133	69	96	50	23	54	86
SPEN	3782	4863	4871	5428	3671	2867	3808	4433
ZBTB17	705	533	284	310	124	55	128	189
SRARP	0	0	0	0	0	0	0	0
HSPB7	0	0	0	0	2	2	0	3
CLCNKA	2	1	0	2	2	0	2	0
CLCNKB	0	2	13	7	2	0	3	8
FAM131C	11	12	6	18	6	4	10	4
EPHA2	11272	9968	6409	6639	1937	1286	2453	3333
ARHGEF19	710	582	665	607	324	178	354	456
CPLANE2	124	133	113	78	60	26	40	76
FBXO42	1143	1411	1122	1230	1728	1419	2079	2475
SZRD1	6991	7123	4169	4778	3506	2724	2993	3465
SPATA21	1	0	0	0	0	0	0	0
NECAP2	3066	3607	2460	2738	1739	1326	1412	1735
LINC01772	26	23	40	28	77	40	38	36
CROCCP3	141	93	48	40	87	112	75	66
RNU1-1	2	0	1	0	6	5	2	6
LINC01783	0	0	0	0	0	0	0	0
TRNAG1	0	0	0	0	0	0	0	0
NBPF1	1645	2083	1617	2022	2301	1702	2522	2858
CROCCP2	454	447	306	355	277	276	324	327
MST1P2	59	42	39	23	6	2	6	9
RNU1-3	0	0	0	0	0	0	0	0
ESPNP	1	0	0	2	0	0	0	0
TRG-CCC5-1	0	0	0	0	0	0	0	0
RNU1-4	0	0	0	1	0	0	0	0
MST1L	2	0	2	5	2	2	1	4
LOC102724562	1	0	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0	0	0
LOC112267871	0	0	0	0	4	4	0	2
TRE-TTC3-1	0	0	0	0	0	0	0	0
TRN-GTT13-1	0	0	0	0	0	0	0	2
LOC105376805	17	21	76	71	41	38	65	114
TRN-GTT4-1	0	0	0	0	0	0	0	0
RNU1-2	0	0	0	1	0	0	0	0
CROCC	148	104	58	71	28	15	11	22
MFAP2	181	196	141	127	570	391	140	247
ATP13A2	1193	913	719	703	751	447	310	450
SDHB	4122	5454	4942	5403	4064	3561	4419	5157
PADI2	1331	1553	2328	2814	1568	1194	1995	2472
