gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SLC34A2	19933.68839017677	-3.6810607613464046	0.08520993963763882	0	0
LCP1	10594.652640414844	4.276114834177568	0.07672191651243743	0	0
ADAMTS12	2576.741079970641	-4.43147312748113	0.11864173866676593	3.2268755758901396e-306	1.7545598131306652e-302
PCDH19	2363.1676085409827	-5.061806051069231	0.14137454365250565	2.6470265957789445e-282	1.0794574457586535e-278
TFDP1	1785.9967706859723	-4.363505328238899	0.12513558136239916	4.657912589815405e-267	1.5195974033013777e-263
EHF	2030.6911366305485	-7.323253494658968	0.2127827485987624	4.398669851146952e-259	1.1958517101984846e-255
MMP2	1922.2192594677795	3.614701354841485	0.11533514697155153	1.048761807083428e-216	2.4439146567349824e-213
TFCP2	1560.1309875840122	-3.682406633458056	0.12074791326164179	2.0344931605075153e-205	4.148331554274824e-202
C3	1960.6166321064125	-4.080866877178069	0.13452290425101027	1.0206634378890237e-203	1.8498957776495284e-200
MGST1	12734.679252551528	-2.1200839316817035	0.07651083750367774	3.4792120013544324e-170	5.67529061660935e-167
ALDH1L2	2433.980472664138	-2.6428932343530818	0.0988343276431061	2.253994751682586e-158	3.342469308131486e-155
LCN2	1714.648729573082	-3.0132047247245923	0.11330168791690995	2.8155608619644406e-157	3.827285731696996e-154
CEMIP2	2600.773288696805	-2.536055300356509	0.09838770208959394	1.0549776404828766e-147	1.323753482427437e-144
TIMP3	10006.608537521215	2.065944390145314	0.08083438528452885	3.425260113658827e-145	3.9909173552859135e-142
COL1A2	921.2837384808423	-5.682711673919358	0.22848240444070855	1.0004023772567803e-137	1.0879042385208401e-134
SLC26A2	24232.287651701005	1.8076148047409994	0.07391439966780211	3.6472482140930845e-133	3.7183695542678995e-130
PMEPA1	6633.3167573982555	1.964558179358482	0.08242570543698015	1.564887758656952e-126	1.5015558305418941e-123
LIMA1	4286.042120644019	-1.9752742439273099	0.08335109643167025	3.609816117368936e-125	3.271295583695671e-122
SUN3	1107.8756743032193	-5.158121692119534	0.22034558967291865	1.2187783414148026e-121	1.0463532792188558e-118
CA2	5164.385040422476	1.836829153102474	0.07885194346767081	6.921100550147851e-121	5.644849608700588e-118
PAWR	4052.179031008886	-2.2278801091832827	0.09731426940573047	4.631485691979476e-117	3.597561647979487e-114
IGFBP3	8913.987375727102	1.5483015570703555	0.06777709839969534	3.924280981819669e-116	2.9096759716110204e-113
FBN2	1970.2440573493448	2.4830550030848917	0.10925800431120747	2.2834283434603495e-115	1.6194470929793575e-112
CXCL8	4757.031812123533	-1.9511113930490762	0.08598655864576552	7.5627180454941575e-115	5.140127364920862e-112
TNFRSF11B	1030.5377654499448	2.662572765200626	0.12186013042677873	6.189428901660157e-107	4.038478569755219e-104
IGFN1	1812.8092620256316	-3.3462779246201118	0.15344458397339006	1.4957931931201747e-106	9.384376371606265e-104
IFI44L	451.2203099022831	-4.668852448647267	0.2172452296172217	2.006375027910188e-103	1.212147757602629e-100
NEURL1B	1415.6599937639512	2.603977350645784	0.12251315866499825	2.48032118120139e-101	1.4449642538484667e-98
BST2	3781.920846421836	-2.2557498631192607	0.10680611595885361	4.0665714084043093e-100	2.287376303927279e-97
MYH14	467.4996784220343	5.325117538555285	0.2523576611748512	5.396455555374772e-100	2.934232767309109e-97
HEPHL1	392.24944859172234	-4.895000764841157	0.2330524669386102	3.946840180774992e-99	2.076801839638764e-96
FGF11	1174.112872664602	-2.970249738310691	0.14184590497624275	2.6616883260121602e-98	1.3567956241846986e-95
ANKRD19P	494.43930295358126	3.966628153716017	0.19129893644589116	1.123164112060011e-96	5.551834241188758e-94
SLPI	4595.360273597918	-1.8313946358137485	0.08929593539200661	1.6673746020395877e-94	7.99947485543228e-92
ACSS2	3099.201180107992	-1.9109344348953439	0.09400955807486464	7.140055965327763e-93	3.3276740830407564e-90
TNS4	983.294821182481	2.983693432818331	0.1472996772799573	2.252576845552425e-92	1.020667597351421e-89
SUPT16H	12058.254919205221	-1.4693391441771688	0.07286240426838071	3.84934444312248e-91	1.6970407177355105e-88
M1AP	718.0703519811683	-3.5852268680425725	0.1857457464061627	3.7014498395859256e-84	1.5888960469296215e-81
OAS2	1054.642257892505	-2.5558385984853014	0.13352850037575917	1.1008391399991465e-82	4.604330269657969e-80
SH3BP4	4969.275713834327	1.687614532753777	0.08895465016953275	3.8626560983698527e-81	1.575191156915226e-78
PRSS12	918.3264076291462	-2.5146714552976994	0.13353260399026706	2.9169103137379865e-80	1.160503439943757e-77
PALMD	2539.8057096330435	-3.3065932279185333	0.17598197826093265	1.48347839632054e-79	5.7615475239953925e-77
GSTO2	448.9257021697706	-4.516045992005881	0.24116085221210423	3.1738425593842327e-79	1.2039934843878047e-76
LGR4	2744.8734454781384	-2.090804931834436	0.11435097883987293	1.3772308342692112e-75	5.1057703110453125e-73
GALC	598.8535832798153	-3.617058219502308	0.19827271871951455	1.644845126123864e-75	5.962380821629437e-73
PYGL	10020.912246817517	-1.2276284609660593	0.06716161760855131	2.732512604466675e-75	9.689727305230523e-73
NIBAN1	4796.312620205177	-1.504474757542695	0.083321865266735	1.0513418201236838e-73	3.64882718507607e-71
LAMC1	18105.44058232873	-1.1286968622688016	0.06253448180659933	1.3498892760733284e-73	4.587373723189194e-71
IFI6	695.3533702539698	-2.7832258956695095	0.15472517797825575	1.743057742844125e-73	5.703593473775689e-71
PNP	3405.6675478054162	-1.5399347740144675	0.08545886287384445	1.7482814718537546e-73	5.703593473775689e-71
CCDC146	5505.042031485464	-1.6141079546601482	0.08982814278078544	3.961635691147096e-73	1.2671019881174789e-70
THBS1	13237.978754980915	1.2792015973891302	0.07146966545773056	1.7622678623514115e-72	5.528098725130043e-70
NBEA	1127.9930780149207	2.440113060815474	0.13660504418474378	2.1128421301826465e-72	6.50276996746025e-70
TMCO3	905.6159017839932	-2.673752643720261	0.15136964134349412	6.408262300142443e-71	1.9357699007393248e-68
CLGN	886.5132899387161	-2.3612560158899076	0.1380607888639055	1.0969614821257006e-66	3.253388308442623e-64
CD47	10692.533662049496	-1.4073677947261594	0.08217627662210285	1.5117074214269007e-66	4.4033877604135e-64
MEST	5121.89054714296	-1.3600725157198437	0.07998336821692156	1.2264184661953167e-65	3.509708424662808e-63
CRLF1	388.02140163738903	4.7587969788263464	0.2812007502599766	1.6187157632966533e-65	4.5524985398094845e-63
SEC23B	3831.3809561325706	-1.3053725282454198	0.07805312235756563	1.4858923902920417e-63	4.108114689905726e-61
DDAH1	7325.939084187028	-1.287398206742052	0.07698797508616924	1.6619375606663613e-63	4.518254248264948e-61
RPS14	17962.70447452175	1.2195969607225423	0.0729370300943734	1.8227977301562055e-63	4.8743404220177086e-61
PRMT5	4708.506189507907	-1.2346961757533967	0.07406774475128323	3.938452258481906e-63	1.0361940845218848e-60
S100A14	2106.756852583586	-1.9936805532658628	0.12020526593557339	8.040275451535968e-63	2.0817932248484877e-60
REC8	936.2604695353899	-3.201386227028681	0.19447028060786856	3.261551296647502e-62	8.312878867330321e-60
MX1	602.328953722976	-2.5025072618229416	0.15186566323833725	4.1227819057911805e-62	1.0346279761117804e-59
TMBIM6	30230.721386147365	-1.0002804373979208	0.06115540700060766	9.08362692232588e-62	2.245032156923936e-59
CCNB1IP1	3432.14761584082	-1.4935670031009731	0.09074342601416742	1.0831143550955938e-61	2.6369793075103474e-59
NUCKS1	15254.950604586471	-1.331941694565379	0.08122372301075856	2.7074732583271746e-61	6.494750557328363e-59
NID1	1717.9018106931835	-1.7726538380262664	0.10834574321048716	3.832538475198667e-61	9.060343131513139e-59
PLOD2	5309.038623898881	-1.5083154783513177	0.09210477198457408	4.026699737828309e-61	9.38336087477934e-59
CYFIP2	2461.8301522107295	1.456268741670606	0.08968576106512482	3.9944385097889565e-60	9.177081826996825e-58
CD46	9070.70709487413	-1.3668328147909445	0.08427990166495097	4.248304591877468e-60	9.624770069820174e-58
KANK1	2655.2740687587298	-1.6391748749302693	0.10119012564609028	6.243075164325904e-60	1.395027973705262e-57
SH3PXD2B	3542.6627538129374	1.4046753011888726	0.08699129021047446	1.7211166397244818e-59	3.79389927394402e-57
NPR3	10656.675840620443	-1.560811983606225	0.09691245223207462	3.753681840849705e-59	8.164007758392052e-57
HOXB9	322.1121818718847	3.558648680895021	0.22311597527859797	2.5476363913250193e-58	5.468032212538646e-56
COCH	410.89932402392157	-3.4424263926894803	0.2166462589860863	8.927606488001338e-58	1.8912612601594522e-55
