gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
F3	12656.547260478106	-3.0991936581781703	0.08011941001468037	0	0
FN1	166042.71668258696	-5.472045531275378	0.062136482793180875	0	0
LRRN1	9871.313228294166	2.9164832615583682	0.07191850721592657	0	0
MUC4	7227.673933401435	-7.862848715141627	0.17782636041114022	0	0
FST	2633.4159865705083	3.7080500969634826	0.09439202466452286	0	0
VIM	3707.959601678105	4.127256172024568	0.09221049118780872	0	0
ALDH1L2	2433.980472664138	-4.482620635122286	0.11286840210634692	0	0
BRCA1	18618.353101018954	3.5242201168706586	0.0769998855455289	0	0
MUC16	9974.296179296569	3.317404530561156	0.07811072783150681	0	0
IGFBP7	4887.474693302891	2.8519979605466963	0.07982475961316224	1.3660183270344859e-280	2.2282490950586533e-277
CALB1	7953.796958170146	-3.6107630101700665	0.10243997544320303	1.8321177301959271e-273	2.7168640377232695e-270
IGFN1	1812.8092620256316	-4.309874471693903	0.1247547578689464	1.401415276079859e-262	1.9049904986178882e-259
IGFBP5	2396.3564277047544	-3.6776850431588923	0.10680008538499725	7.418370938878641e-261	9.308343596537568e-258
AXL	5560.043169509241	-3.7593277004022387	0.11402935742737513	1.0978468816276924e-239	1.2791484523650655e-236
ADAMTS12	2576.741079970641	-3.071669687901062	0.09628979376764059	1.4938486726337867e-224	1.6245106365334887e-221
SLC2A12	2784.118060393982	3.0861218974717466	0.09807588691668266	2.0580731598158174e-218	2.098205586432226e-215
FGFBP1	3477.661152803607	4.277960012445743	0.13802802793447008	1.589271902087263e-212	1.5249531333439666e-209
S100A16	7018.743509377348	-3.925924324421238	0.12644214887698424	2.251724325293161e-212	2.0405626218990021e-209
RELN	986.8475870350867	5.377815922101079	0.17640175413418516	2.3354725988812327e-205	2.0050646859447718e-202
C3	1960.6166321064125	3.926855885559769	0.13437034427071642	6.357114810453571e-190	5.184862839405933e-187
MKX	2985.579509971073	-2.668099756589384	0.09306673165041845	9.448085568509059e-182	7.338912942548562e-179
TNC	6591.0724043602195	2.5561245424256134	0.08920964036018456	1.490601179628811e-181	1.1052130200956894e-178
SAMD9	1071.1567519475868	4.404875309287744	0.156211959600119	4.293889346442589e-176	3.045301000833544e-173
PROSER1	6565.5721390354865	-2.0868213255576955	0.07404172941106818	8.849452341751222e-176	6.01467777494358e-173
S100A14	2106.756852583586	-3.747873466310773	0.13343631025846941	3.35010425217147e-174	2.1858760224568407e-171
ARHGEF2	2545.284236296618	-3.022320373510907	0.10789974132584594	1.1409320125644557e-173	7.158031918827462e-171
LOC101927151	2494.1465074713465	2.6003967319866	0.09394836060248676	1.1047802050236746e-169	6.674509149757844e-167
GNG11	6410.154723273972	2.278005066954833	0.08298458072793088	5.253853093664074e-167	3.060744702280299e-164
LBH	4962.680710258292	2.4614373948538106	0.09055702102064593	9.489544692770603e-164	5.337705276843934e-161
ZNF283	1659.2839280825556	3.5301937885585892	0.13006551597740942	2.0188122982109345e-163	1.0976955402805588e-160
UCA1	5076.31352672149	-2.3110310087634898	0.0852186238233695	5.1412916197199835e-163	2.7053144806733027e-160
ACTBL2	759.7678542611246	4.797220012386032	0.18215120358573084	1.0245904285589662e-153	5.2228497095793306e-151
EHF	2030.6911366305485	3.146771479348144	0.12064992691212244	4.906071771642451e-151	2.4250861436070198e-148
IGFL2-AS1	726.0195321672142	-5.63048075755174	0.21671986695528797	1.2467433549754388e-149	5.981434590105693e-147
TRIB3	3495.8309858408934	-2.632278807638179	0.10264235981061569	2.989840165469143e-146	1.393436365118076e-143
MAMDC2	637.9938138095775	5.8629841249048535	0.22901877427268053	4.8060564815187305e-145	2.1776775924037092e-142
