Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Dataset	direction
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.6669962230429962	0.0019129582620386124	-4.268715188859416	4.4784176891230705e-5	0.002239208844561535	2.4480079083110793	UWB_BRCAdef	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.57240746718138	0.02130984101678019	-3.6633557506909513	4.003059890683987e-4	0.010005455446068737	0.10813240207722963	UWB_BRCAdef	DOWN
HALLMARK_MTORC1_SIGNALING	-0.5538033069980319	-0.01612957306249556	-3.5442908168772074	6.003273267641242e-4	0.010005455446068737	-0.3100542832514508	UWB_BRCAdef	DOWN
HALLMARK_PROTEIN_SECRETION	-0.4633528787832208	0.02841851125540916	-2.9654162994205873	0.0037800172930335715	0.04716796755943132	-2.1463335261644296	UWB_BRCAdef	DOWN
HALLMARK_ANDROGEN_RESPONSE	-0.4455339032125879	-0.01196217143129688	-2.8513764757447455	0.005288652377439036	0.04716796755943132	-2.469579387498577	UWB_BRCAdef	DOWN
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.44187208444834514	0.002368440653060029	-2.8279411685604563	0.005660156107131758	0.04716796755943132	-2.5344368052729407	UWB_BRCAdef	DOWN
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.42126861003765015	0.008705188878815866	2.6960808054553107	0.008233252675341446	0.05267099712866795	-2.88938298690829	UWB_BRCAdef	NS
HALLMARK_G2M_CHECKPOINT	-0.41873277965009087	0.0062593049882189965	-2.6798517215148343	0.008614486108411926	0.05267099712866795	-2.9318978377315106	UWB_BRCAdef	NS
HALLMARK_COMPLEMENT	-0.41215577807301734	-0.023739862358089763	-2.6377595093563913	0.009679025267115853	0.05267099712866795	-3.040969310528751	UWB_BRCAdef	NS
HALLMARK_APICAL_JUNCTION	0.40626927572824734	-0.03449692646225526	2.600086429509346	0.010731255041852426	0.05267099712866795	-3.1371253772553778	UWB_BRCAdef	NS
HALLMARK_E2F_TARGETS	-0.40185139258368774	0.014987013657734714	-2.5718123790270964	0.011587619368306948	0.05267099712866795	-3.208382928184015	UWB_BRCAdef	NS
HALLMARK_SPERMATOGENESIS	-0.38014123957238116	0.022272341565103153	-2.432869373489489	0.016755863779732802	0.06981609908222002	-3.5472317646747964	UWB_BRCAdef	NS
HALLMARK_ALLOGRAFT_REJECTION	-0.35448513665454556	0.009322705265731084	-2.2686726472881693	0.025437196484906718	0.09783537109579507	-3.923413460211577	UWB_BRCAdef	NS
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.33405706071596564	0.004469969209914351	-2.1379348184585623	0.034959010718055024	0.11917615939220283	-4.204149699591694	UWB_BRCAdef	NS
HALLMARK_INFLAMMATORY_RESPONSE	-0.33258240798042255	0.0070307068313922305	-2.128497175016164	0.035752847817660846	0.11917615939220283	-4.223770704060027	UWB_BRCAdef	NS
HALLMARK_MYC_TARGETS_V1	-0.32198487986563895	0.013104204608256145	-2.060673958534434	0.04193011021277493	0.13103159441492165	-4.362222734168623	UWB_BRCAdef	NS
HALLMARK_HEDGEHOG_SIGNALING	0.3129468805861262	-0.009545689235577297	2.00283158481702	0.04790207567718231	0.14088845787406565	-4.476758152764403	UWB_BRCAdef	NS
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.30785737879931124	-0.00610485653602412	-1.9702592360831899	0.051573953417807405	0.14326098171613166	-4.539820540777164	UWB_BRCAdef	NS
HALLMARK_UV_RESPONSE_DN	-0.2620346867149745	-0.003215135716724556	-1.676998172621025	0.0966662066547867	0.25438475435470187	-5.061031650283069	UWB_BRCAdef	NS
HALLMARK_IL2_STAT5_SIGNALING	-0.25139308846399194	-0.011203262916177903	-1.6088929112741692	0.11079237427964467	0.27698093569911164	-5.170081901787971	UWB_BRCAdef	NS
HALLMARK_FATTY_ACID_METABOLISM	-0.2301103194238601	-0.032973300994434275	-1.4726851242973285	0.14397650544753263	0.3428012034465063	-5.374617050340652	UWB_BRCAdef	NS
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.22280012099162777	-0.008422111149268968	-1.4259005189229816	0.1570113116053388	0.3568438900121337	-5.440698863567279	UWB_BRCAdef	NS
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.19917467653968082	-0.02261852999812202	1.2746998222901322	0.20536946158692143	0.4464553512759161	-5.639677730762686	UWB_BRCAdef	NS
HALLMARK_KRAS_SIGNALING_UP	-0.19292620742746522	-0.038040299497190046	-1.2347101880389137	0.21983179685788237	0.4579829101205883	-5.688578073371887	UWB_BRCAdef	NS
HALLMARK_COAGULATION	-0.16816523298433028	-0.028631484455233572	-1.0762422026968792	0.28440861643622495	0.5688172328724499	-5.8670317001878916	UWB_BRCAdef	NS
HALLMARK_XENOBIOTIC_METABOLISM	-0.15979539050265057	0.011863867349750227	-1.0226759717414697	0.3089287271017299	0.5940937059648652	-5.921818942542617	UWB_BRCAdef	NS
HALLMARK_APOPTOSIS	-0.1415594569928722	-0.010717934800897125	-0.9059676551619869	0.3671307151008454	0.672363883690793	-6.031503789854888	UWB_BRCAdef	NS
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.13879514393407166	-0.01105791086781347	-0.8882763028976074	0.3765237748668441	0.672363883690793	-6.046971832698874	UWB_BRCAdef	NS
HALLMARK_MYC_TARGETS_V2	0.13158890839597334	-0.03576266903213845	0.8421570505941414	0.40170965093193856	0.6909566371221018	-6.085861119529366	UWB_BRCAdef	NS
HALLMARK_TGF_BETA_SIGNALING	0.12480254300425137	-0.004789409035376087	0.7987249290558368	0.42634284941400213	0.6909566371221018	-6.12058923631316	UWB_BRCAdef	NS
HALLMARK_PANCREAS_BETA_CELLS	-0.1242483795580451	0.03758785238096362	-0.7951783333807683	0.4283931150157031	0.6909566371221018	-6.123343886676478	UWB_BRCAdef	NS
HALLMARK_APICAL_SURFACE	-0.11632632504622943	0.013092274820519945	-0.7444779047227489	0.4583333509889618	0.7161458609202528	-6.16138281218624	UWB_BRCAdef	NS
HALLMARK_MYOGENESIS	0.10842572113910129	0.0075737696247093565	0.6939147579845912	0.4893444970196026	0.7414310560903069	-6.19682368400958	UWB_BRCAdef	NS
HALLMARK_GLYCOLYSIS	-0.09731240538075189	-0.0027145952417234774	-0.622790547475833	0.5348398626473986	0.7865292097755862	-6.242458771546613	UWB_BRCAdef	NS
HALLMARK_MITOTIC_SPINDLE	-0.09332378570504542	-0.012806612178171875	-0.597263744168621	0.5516813005534034	0.7881161436477191	-6.257635159947802	UWB_BRCAdef	NS
HALLMARK_KRAS_SIGNALING_DN	0.07517320258183302	6.396293642868187e-4	0.4811016623037023	0.63149526325736	0.8479057766627083	-6.318676376152894	UWB_BRCAdef	NS
HALLMARK_PEROXISOME	-0.07287593284076481	-0.012040884103782828	-0.4663993448125089	0.6419441127364462	0.8479057766627083	-6.3254646338536364	UWB_BRCAdef	NS
HALLMARK_ANGIOGENESIS	-0.06921189112363628	0.007058188113093937	-0.44294981093184577	0.6587587664662555	0.8479057766627083	-6.3358556429763295	UWB_BRCAdef	NS
HALLMARK_ADIPOGENESIS	-0.06864711588647866	-0.020303854408180496	-0.4393353007594381	0.6613665057969124	0.8479057766627083	-6.337409643804016	UWB_BRCAdef	NS
HALLMARK_UV_RESPONSE_UP	0.06362233548208078	-0.02436806086450629	0.40717716298906315	0.6847481452785198	0.8538155781428151	-6.350674944290695	UWB_BRCAdef	NS
HALLMARK_HYPOXIA	0.060353126808908274	-0.01840097948175541	0.386254524694269	0.7001287740771084	0.8538155781428151	-6.35876439125451	UWB_BRCAdef	NS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.04015184345527688	0.004668444567858538	-0.25696814778994226	0.7977313376723436	0.9084182027522579	-6.3992878916995135	UWB_BRCAdef	NS
HALLMARK_NOTCH_SIGNALING	0.03499241531571602	-0.00907141167119243	0.22394827675575146	0.8232544486907472	0.9084182027522579	-6.407026053851794	UWB_BRCAdef	NS
HALLMARK_HEME_METABOLISM	-0.03334263724136096	-0.025782801341013288	-0.2133898470661238	0.8314573458616442	0.9084182027522579	-6.409276193714174	UWB_BRCAdef	NS
HALLMARK_P53_PATHWAY	0.030193256788351233	-0.01823550637796993	0.1932340984864306	0.8471675684255793	0.9084182027522579	-6.413269979125378	UWB_BRCAdef	NS
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.028933298643692318	-0.008158862581039587	-0.18517048090716595	0.8534703675214135	0.9084182027522579	-6.414756870185406	UWB_BRCAdef	NS
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.02884486461692404	-0.04071359801329277	0.18460451117565008	0.8539131105871225	0.9084182027522579	-6.4148588521996865	UWB_BRCAdef	NS
HALLMARK_DNA_REPAIR	-0.024302323805642907	-0.02124956823237622	-0.1555326629593828	0.8767149296199662	0.9132447183541316	-6.4196774378785495	UWB_BRCAdef	NS
HALLMARK_BILE_ACID_METABOLISM	0.010259949354988817	-0.004069360433939861	0.06566274310933524	0.9477774281442437	0.9671198246369834	-6.429364304079807	UWB_BRCAdef	NS
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0055718713709145985	-0.010870926417672584	0.03565947021841061	0.9716249734433264	0.9716249734433264	-6.43084568294396	UWB_BRCAdef	NS
