Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Dataset	direction
HALLMARK_G2M_CHECKPOINT	-0.6612591184583383	0.011307173446365122	-5.263189968867759	3.419924248637597e-4	0.017099621243187983	0.49589725579233424	UWB_BRCAprof	DOWN
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.511173051199374	-0.0032114994106113987	-4.400049620801976	0.0012700270065496972	0.029850372810699573	-0.8129954315855006	UWB_BRCAprof	DOWN
HALLMARK_E2F_TARGETS	-0.5487623671651702	0.005638040910065888	-4.127151351396957	0.0019650757613046957	0.029850372810699573	-1.2488061070146586	UWB_BRCAprof	DOWN
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.4811271519531396	-0.036462690883296726	4.0072169130699535	0.002388029824855966	0.029850372810699573	-1.4432802827754294	UWB_BRCAprof	UP
HALLMARK_MYC_TARGETS_V2	-0.6229485414112426	0.044904679942990675	-3.7108788149294627	0.00389512192632386	0.0389512192632386	-1.9305458280846057	UWB_BRCAprof	DOWN
HALLMARK_FATTY_ACID_METABOLISM	0.3850077916059422	-0.02625623070269341	3.317705679087062	0.007564726836661949	0.06303939030551624	-2.5884711332812698	UWB_BRCAprof	NS
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3107189630080953	-0.005566728338290777	2.6318377241349213	0.02468259919893295	0.17630427999237822	-3.743588315410674	UWB_BRCAprof	NS
HALLMARK_HEDGEHOG_SIGNALING	0.3702594582953006	-0.023820840354590752	2.4408641178770516	0.03433623115284933	0.19595715078495227	-4.05971598991904	UWB_BRCAprof	NS
HALLMARK_MITOTIC_SPINDLE	-0.3059786448044537	-0.012826893105117122	-2.4252635368293647	0.03527228714129141	0.19595715078495227	-4.085308262287979	UWB_BRCAprof	NS
HALLMARK_APOPTOSIS	-0.2728330331420131	-0.021696539692640085	-2.2784598830884413	0.045393952722227945	0.22503076916774098	-4.323971090090684	UWB_BRCAprof	NS
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.30404449082561236	-0.001892764788964276	2.219085470982024	0.05024384116722275	0.22503076916774098	-4.419232192521154	UWB_BRCAprof	NS
HALLMARK_APICAL_SURFACE	0.2973076666281492	0.015707214689742267	2.109979805887027	0.06048488611177425	0.22503076916774098	-4.592035000353152	UWB_BRCAprof	NS
HALLMARK_P53_PATHWAY	-0.27759056658012327	-0.020510333021866445	-2.103651804499514	0.06113633420950875	0.22503076916774098	-4.601960005049811	UWB_BRCAprof	NS
HALLMARK_MTORC1_SIGNALING	-0.26953521400320973	-0.017803039082888633	-2.0858158568373155	0.06300861536696747	0.22503076916774098	-4.629873219366764	UWB_BRCAprof	NS
HALLMARK_COAGULATION	0.24125895131152697	-0.004096977488520448	1.9075235968263726	0.08494998611783457	0.2831666203927819	-4.903460500641366	UWB_BRCAprof	NS
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.22756838682389707	0.0019779703836608612	-1.8193549603071306	0.09826391190889239	0.30707472471528874	-5.034632221862708	UWB_BRCAprof	NS
HALLMARK_MYC_TARGETS_V1	-0.2377629069599051	-0.005828995706049243	-1.4849890669975552	0.1677524043443689	0.4933894245422615	-5.5009464205217515	UWB_BRCAprof	NS
HALLMARK_INFLAMMATORY_RESPONSE	-0.1679294184725021	0.009212076789264122	-1.4173836711724295	0.18615662266675784	0.5171017296298829	-5.588188160208002	UWB_BRCAprof	NS
HALLMARK_HYPOXIA	-0.1533710045056501	-0.014040801173864907	-1.3046834425714837	0.22064066673422547	0.5806333335111197	-5.727500908743963	UWB_BRCAprof	NS
HALLMARK_TGF_BETA_SIGNALING	-0.15886525331006274	-0.01782851388948828	-1.2442968427914762	0.2411964762544697	0.5977306546005904	-5.798788607716816	UWB_BRCAprof	NS
HALLMARK_SPERMATOGENESIS	-0.16306222132665488	0.005518615730724125	-1.1855193219599807	0.262669650791635	0.5977306546005904	-5.865791035224364	UWB_BRCAprof	NS
HALLMARK_ALLOGRAFT_REJECTION	-0.14513176726837668	0.017096083457105588	-1.1846416690033421	0.26300148802425977	0.5977306546005904	-5.866773145684366	UWB_BRCAprof	NS
HALLMARK_ANGIOGENESIS	-0.1577720511578439	0.016931388594564452	-1.1516065057987142	0.2757355420521531	0.5994250914177242	-5.903338789269973	UWB_BRCAprof	NS
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.12229080507566281	-0.0036840307117038526	1.0213342715765639	0.33068594400632156	0.6785691546850747	-6.039626356453801	UWB_BRCAprof	NS
HALLMARK_UV_RESPONSE_DN	-0.15393229326068344	-0.01119633523798031	-1.00246530024851	0.33928457734253736	0.6785691546850747	-6.058279231805663	UWB_BRCAprof	NS
HALLMARK_APICAL_JUNCTION	0.13775828652046085	0.007178156154225019	0.9386552122033276	0.3695816762993802	0.7107339928834235	-6.119230871332004	UWB_BRCAprof	NS
HALLMARK_IL2_STAT5_SIGNALING	-0.10780250921995488	-0.007801285925625212	-0.8804052145746897	0.39888883229541594	0.7386830227692888	-6.171926721911376	UWB_BRCAprof	NS
HALLMARK_ADIPOGENESIS	0.10027379615951895	-0.01837196683275387	0.8163008557960632	0.4329602610138251	0.746598104490983	-6.226560312959885	UWB_BRCAprof	NS
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.1101744852016287	-0.014229609583666793	-0.8161788768057716	0.4330269006047701	0.746598104490983	-6.226660846047209	UWB_BRCAprof	NS
HALLMARK_XENOBIOTIC_METABOLISM	0.10139108194322137	-0.002486856694857943	0.7756755459999145	0.4555315001783803	0.7592191669639672	-6.259311431475593	UWB_BRCAprof	NS
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.08085767674817268	-0.010596373148572619	-0.692387834240215	0.5041359401580782	0.8131224841259325	-6.321779429665326	UWB_BRCAprof	NS
HALLMARK_GLYCOLYSIS	-0.07774252677826828	-0.0015785457318908524	-0.6598329416369096	0.523965559696447	0.8186961870256984	-6.344448357796906	UWB_BRCAprof	NS
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.07008400287687028	-0.02027512573529682	-0.5623158963421636	0.5860336870087319	0.8251774923140941	-6.406303659995925	UWB_BRCAprof	NS
HALLMARK_DNA_REPAIR	-0.06843076901636615	0.004599990462783433	-0.5243062105670934	0.6112580956606342	0.8251774923140941	-6.427906489796242	UWB_BRCAprof	NS
HALLMARK_PROTEIN_SECRETION	-0.1082126977264536	-0.0025120869620552724	-0.4739661556107796	0.6454968706670395	0.8251774923140941	-6.454308351506129	UWB_BRCAprof	NS
HALLMARK_MYOGENESIS	0.07565244552283962	0.015898006478402955	0.46661311438468567	0.6505740387378578	0.8251774923140941	-6.457952071975896	UWB_BRCAprof	NS
HALLMARK_NOTCH_SIGNALING	0.06426525456878587	-0.00761140303814139	0.4587437339895059	0.6560285094424616	0.8251774923140941	-6.461791211168184	UWB_BRCAprof	NS
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.056547825669468074	-0.01729464210390603	-0.4584731780321121	0.6562164176779446	0.8251774923140941	-6.461922091129888	UWB_BRCAprof	NS
HALLMARK_KRAS_SIGNALING_DN	0.05143102740535923	0.011796165820839637	0.39262629596054294	0.7026675581448854	0.8251774923140941	-6.491560717327107	UWB_BRCAprof	NS
HALLMARK_PANCREAS_BETA_CELLS	-0.05009606467072479	5.210727404178009e-4	-0.38793982672291466	0.7060258709822465	0.8251774923140941	-6.493501024137796	UWB_BRCAprof	NS
HALLMARK_BILE_ACID_METABOLISM	0.04355268283924337	-0.02354695585014639	0.3750483313779526	0.7152978047580705	0.8251774923140941	-6.498721672060971	UWB_BRCAprof	NS
HALLMARK_COMPLEMENT	0.04435023385149583	0.007183767519976665	0.3723777255912214	0.7172247130601841	0.8251774923140941	-6.499781741421064	UWB_BRCAprof	NS
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.04474770431623143	0.016889636472158107	0.37152803306824883	0.7178382233831921	0.8251774923140941	-6.500117472997729	UWB_BRCAprof	NS
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.04317680696695674	0.004649228597690305	0.3583852219873604	0.7273543143686728	0.8251774923140941	-6.505215366819556	UWB_BRCAprof	NS
HALLMARK_HEME_METABOLISM	0.039330001339661205	-0.020466434458629557	0.33738547509945827	0.7426597430826847	0.8251774923140941	-6.512989102523558	UWB_BRCAprof	NS
HALLMARK_PEROXISOME	0.03498464747173598	-0.025215298318081926	0.2845884804422244	0.7816480998040318	0.8496174997869911	-6.53050163718105	UWB_BRCAprof	NS
HALLMARK_KRAS_SIGNALING_UP	-0.026452759644814604	0.01688173388614515	-0.22636121645884325	0.8253879146442251	0.8780722496215161	-6.5464170555440955	UWB_BRCAprof	NS
HALLMARK_UV_RESPONSE_UP	-0.022183941281318106	0.0031358811224387016	-0.15344196396617624	0.8810400960589595	0.9070078521958164	-6.561274811499029	UWB_BRCAprof	NS
HALLMARK_ANDROGEN_RESPONSE	-0.024114952637879404	0.007190353299549451	-0.14326661925609335	0.8888676951519	0.9070078521958164	-6.562896977111619	UWB_BRCAprof	NS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.010102675873773753	-0.006850710488524413	0.0835380227566796	0.9350389479135898	0.9350389479135898	-6.570181627140095	UWB_BRCAprof	NS
