gene_symbol	log2FC_A2780	SE_A2780	pval_A2780	padj_A2780	log2FC_PEO1	SE_PEO1	pval_PEO1	padj_PEO1	log2FC_UWB_BRCAdef	SE_UWB_BRCAdef	pval_UWB_BRCAdef	padj_UWB_BRCAdef
1-Mar	4.095003554966183	0.028877744293270807	7.963937260710672e-26	1.2544623317273007e-23	NA	NA	NA	NA	NA	NA	NA	NA
1-Sep	-0.4532848132518539	0.07486211222340368	1.8114752304880423e-5	3.129766527888556e-5	NA	NA	NA	NA	NA	NA	NA	NA
10-Mar	0.16564731882217232	0.021729301440084264	1.1629815354962888e-6	2.235245696614613e-6	NA	NA	NA	NA	NA	NA	NA	NA
10-Sep	-0.723877660336913	0.07487707963255902	5.1973371384496327e-8	1.1405824330952657e-7	NA	NA	NA	NA	NA	NA	NA	NA
11-Sep	-0.7853675835614107	0.05745832421901824	3.931506729708606e-10	1.110998586024655e-9	NA	NA	NA	NA	NA	NA	NA	NA
12-Sep	-0.0723708362931364	0.06476433696658447	0.280611592478255	0.32603725727748784	NA	NA	NA	NA	NA	NA	NA	NA
14-Sep	3.32515482703054e-4	0.010753721579886315	0.9757222419878934	0.9790791516267916	NA	NA	NA	NA	NA	NA	NA	NA
2-Mar	0.7577958443017239	0.039110955674608816	2.2045382160100706e-12	8.559080811366562e-12	NA	NA	NA	NA	NA	NA	NA	NA
2-Sep	-0.3039081504363512	0.05928162423189471	1.0763255101088204e-4	1.7430268633504507e-4	NA	NA	NA	NA	NA	NA	NA	NA
3-Mar	0.13733130657414483	0.05847485804577358	0.03229721399169788	0.04224089622963407	NA	NA	NA	NA	NA	NA	NA	NA
3-Sep	-2.8654194656539667	0.047450109399156316	5.13283336203539e-20	1.0541728308850798e-18	NA	NA	NA	NA	NA	NA	NA	NA
4-Mar	-0.08381514081502502	0.022655304214011643	0.00199942840969346	0.00290511579672311	NA	NA	NA	NA	NA	NA	NA	NA
4-Sep	-1.5662669760236965	0.0759367143690397	8.553193430384585e-13	3.542978128641579e-12	NA	NA	NA	NA	NA	NA	NA	NA
5-Mar	-0.6881172639698381	0.04052601588958255	1.6014996278941656e-11	5.4638670344824726e-11	NA	NA	NA	NA	NA	NA	NA	NA
5-Sep	-4.0687619483900574	0.050432901323914356	5.513601612045187e-22	2.0138915039275607e-20	NA	NA	NA	NA	NA	NA	NA	NA
6-Mar	0.43488675521438847	0.022663752548878216	2.551982978460003e-12	9.804460737367458e-12	NA	NA	NA	NA	NA	NA	NA	NA
6-Sep	-0.97033601623800525	0.03241786409676912	2.8431316674416738e-15	1.8764881734757204e-14	NA	NA	NA	NA	NA	NA	NA	NA
7-Mar	-0.05820557992902753	0.09193603328356112	0.535776164815573	0.5835388998441993	NA	NA	NA	NA	NA	NA	NA	NA
7-Sep	-0.4084836802579428	0.08920292434329428	3.2326431288154524e-4	5.018946587922399e-4	NA	NA	NA	NA	NA	NA	NA	NA
8-Mar	-0.3169898514627598	0.037267764719322034	2.859986499461934e-7	5.822280385818999e-7	NA	NA	NA	NA	NA	NA	NA	NA
8-Sep	0.8037769076499233	0.029000659159941898	9.313798642380016e-15	5.4881107431151724e-14	NA	NA	NA	NA	NA	NA	NA	NA
9-Mar	-0.17278956986720173	0.07724893646035708	0.04018172525378217	0.05207419355962867	NA	NA	NA	NA	NA	NA	NA	NA
9-Sep	1.5945531877205914	0.05518549680316029	4.901483490128218e-15	3.0838791630828104e-14	NA	NA	NA	NA	NA	NA	NA	NA
A1BG	-3.3263774966453283	0.0637760100892801	5.066978056137789e-19	7.93094781858359e-18	-0.01183093804495955	0.09936387105816867	0.9088862483504844	0.944566059310996	0.10502895591089252	0.5412370090314721	0.6303622272052798	0.7282572763667728
A1BG-AS1	NA	NA	NA	NA	NA	NA	NA	NA	-0.05742096425999585	0.4688562625944864	0.8332057590581359	0.8851418591590711
A1CF	-0.08954818298128317	0.015188394752460846	2.4386086781838175e-5	4.17162167172684e-5	NA	NA	NA	NA	-4.829797096705171	0.7746894306049003	8.4564635570355e-11	9.768307571566023e-10
A2M	-0.01119856101191043	0.013007919702502901	0.40224819244018095	0.45183131357631945	NA	NA	NA	NA	0.31225332643207737	0.42275459730938897	0.30777139221443967	0.4219724799352146
A2M-AS1	NA	NA	NA	NA	NA	NA	NA	NA	0.00210126566254614	0.5069892380278423	0.9964756543528271	0.9975591264426258
A2ML1	-0.00962736626521833	0.023948903540981215	0.6931065280932459	0.7288421868403793	0.06912369651788966	0.08642741085594367	0.452595405518853	0.5956546496079325	NA	NA	NA	NA
A3GALT2	0.07248187320302424	0.03369964706530845	0.04742772532118343	0.06106553277742797	NA	NA	NA	NA	NA	NA	NA	NA
A4GALT	0.5545885442588876	0.07243149186939839	1.1006696114581098e-6	2.122187244299888e-6	-0.854183461530395	0.2196228527464579	0.0071782869508623	0.03079110927803447	3.829792352683135	0.6234708821991285	5.920953345898015e-11	7.004895069538605e-10
A4GNT	-0.16141287088965692	0.042489894756264156	0.00162447002504896	0.00237714832298554	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	-0.3779187635978926	0.053356225186468854	2.8844027220196565e-6	5.351417901132693e-6	-0.12794415563679706	0.08662194629895478	0.18727718635705504	0.3174575700479088	-0.6019022386358418	0.12988071415126337	1.869491849536802e-6	1.0135533920661596e-5
AACS	0.01550689822667106	0.04414967201329231	0.7300814244118388	0.761370011791314	-0.04316033834076638	0.1181153295121911	0.7266253043119999	0.8215698517824259	0.0629146400523501	0.1274902493158784	0.6137792156046276	0.7132580208362632
AADAC	1.2478421833534126	0.06939450197691746	6.785212171617237e-12	2.4345070801641507e-11	NA	NA	NA	NA	-5.395097798361006	0.6146711053597383	4.49890456323659e-19	1.408337084475582e-17
AADACL2	0.00941181086198609	0.01332524685166619	0.4903428266732778	0.5392487313408532	NA	NA	NA	NA	NA	NA	NA	NA
AADACL4	-0.00270673242895087	0.010631921621055201	0.8023478962808779	0.8261846487005923	NA	NA	NA	NA	NA	NA	NA	NA
AADACP1	NA	NA	NA	NA	NA	NA	NA	NA	-3.4556392946802745	0.44683225643634034	9.046941535847685e-16	1.9424242650080652e-14
AADAT	-0.5656189738679402	0.05402930998395188	1.7450181821130123e-8	4.0464788076810943e-8	0.5158824797444446	0.1534977291078296	0.0138810985744666	0.04851360629782043	0.07023200763925576	0.24451980462852813	0.7530887303806905	0.8267759562263146
AAED1	-0.933706441985834	0.08932582213851951	1.7821776880062144e-8	4.1272222068529325e-8	0.34770680837812273	0.08651513705542573	0.00614540838451348	0.02783048000884769	NA	NA	NA	NA
AAGAB	-0.3730025132124783	0.07280215617470429	1.0827470155305304e-4	1.7529432731935046e-4	0.1384993006409383	0.10941037046679362	0.2498495702589326	0.3892545414700596	-0.2585540376577321	0.10108871678094608	0.00928893768819142	0.02159371048500997
AAK1	-1.01827822732178	0.035974074471419044	6.7320328232523956e-15	4.0925748817304886e-14	0.41038229612526544	0.06304003223073996	4.889138501104076e-4	0.00568091260388988	-0.21220250955439263	0.13337642295037275	0.1013705439652101	0.17073622663762708
AAMDC	-0.803116225773457	0.08707477616425613	9.798733596673093e-8	2.0895595081893714e-7	-0.10783865949506222	0.1787397998505351	0.567122736107907	0.6964149661014194	-0.10072309565670395	0.1986930731989704	0.5879402239518521	0.6923292495707485
AAMP	-0.3303015654422623	0.1152609909221572	0.0113747974417489	0.01553325926676478	-0.46166365521120056	0.07044901858267978	4.709644530250868e-4	0.00553029366760496	0.4657719217711545	0.11862904299144889	5.866657337866325e-5	2.3569024808081033e-4
AANAT	0.2624994477536197	0.04000867533964309	7.19944663087308e-6	1.2880299915004856e-5	-0.0339195990717327	0.08719020085819573	0.7099173016353472	0.8095757451093996	NA	NA	NA	NA
AAR2	0.977270285812328	0.03299890608268045	3.351035794832273e-15	2.1758915529050775e-14	-0.00884744363480249	0.0783943943915506	0.91361343214905	0.9470140808195076	0.4406651592158862	0.12544278361116612	3.1146433386103806e-4	0.00104929826810007
AARD	-0.31697955512976606	0.03983410190778791	6.757955373175782e-7	1.330326363463146e-6	-0.14863638393269385	0.14093516034197467	0.32990632043888385	0.4755581454405266	-1.2906275179076625	0.4425361752102652	4.6672922704226426e-4	0.00151247326328478
AARS	-0.9758533152123876	0.05686721612778866	1.367356962565622e-11	4.709666445447618e-11	0.2962249978161209	0.10046739940379691	0.0238977471465385	0.07123272463763546	NA	NA	NA	NA
AARS1	NA	NA	NA	NA	NA	NA	NA	NA	-0.46258970480268696	0.08241840133617097	1.3797054156159856e-8	1.108491947520494e-7
AARS2	0.7402085590431478	0.06205193930847959	2.790043453774697e-9	7.123291839579335e-9	-0.00978868496483542	0.07684067740221326	0.9025559533315766	0.9397837396922644	0.9905392172149878	0.2071097802447048	4.3914130923457994e-7	2.7007621894458332e-6
AARSD1	-0.03946089941747124	0.023483802374810965	0.1126741497697704	0.13905542848816294	0.07732740431665341	0.12312964828095235	0.5518129175955253	0.6840281172784383	NA	NA	NA	NA
AASDH	0.4303836018305609	0.0599274365748203	2.4358490315853566e-6	4.540227006363324e-6	-0.200438004446696	0.09199753261596377	0.06953290847663578	0.153443076627941	-0.15097418728615458	0.15916741458750824	0.32207891455418697	0.43768571636061937
AASDHPPT	-0.8086643673028941	0.0660975363604585	1.945243783425267e-9	5.051220316041884e-9	0.2642937317924683	0.11816580383923216	0.06405840490466448	0.14452342756596334	-0.31235690468459304	0.09821853762120712	0.00122550770320135	0.00360692865184421
AASS	0.8579853270566384	0.057193049524701806	1.0061750643116798e-10	3.061562691374035e-10	0.5803714933906782	0.09204699849856166	5.850427414259996e-4	0.00633701152902678	-0.2602294828891496	0.1696051667728119	0.10755617754722592	0.1794743380564158
AATBC	NA	NA	NA	NA	NA	NA	NA	NA	1.3858165203545538	0.6137098166058519	0.00244870215782289	0.00668184905408715
AATF	0.7298655068382907	0.03431817407326115	5.371058015920434e-13	2.306064870208525e-12	1.0104447881205534	0.25157044953263524	0.00616354566817875	0.02788724253684148	0.00414798657608799	0.1035262499303702	0.9691398657050692	0.9806048987016448
AATK	-1.9603481223155947	0.06254549900715244	1.3953691518726613e-15	9.811519560517134e-15	0.04705709163628649	0.0794920077651913	0.574248979006412	0.7019904622191533	NA	NA	NA	NA
ABALON	NA	NA	NA	NA	NA	NA	NA	NA	0.08067884425642519	0.31709993759670796	0.7631990072754099	0.8343058291573344
