gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
SERPINB9	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-3.312826639041773	0.03385121386831926	-97.86433809814388	0	-3.3791737990566415	-3.2464794790269047	6.270191692057927e-6	1.5695402131729224	0.45622457275497574	3.874705161459265e-4	-3.312822798993267	0.03375860400697813	-98.1326952473652	0	NA	NA	NA	NA	5.8923333333333334e-297	DOWN	1e-300	3	0	3	1
PGGHG	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-2.461362429286526	0.07166328763917229	-34.346211433664486	1.6043281744330015e-258	-2.6018198920730384	-2.320904966500014	2.380774816209152e-6	1.6962425091208488	0.42821869059546	0.006269192600116	-2.4613682624306428	0.07165116783759544	-34.3521025087767	1.3102007976469068e-258	NA	NA	NA	NA	5.671941827890434e-255	DOWN	1.6043281744330015e-258	3	0	3	1
ADAMTS2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7441690292014062	0.02910847273627619	-25.56537527556338	3.704293063211213e-144	-0.8012205874094736	-0.6871174709933388	1.3014411884874372e-7	9.0912326583974	0.02810217160665929	0.00134507105275673	-0.7441690805635932	0.02910682444479734	-25.566824782791052	3.5693291441589113e-144	NA	NA	NA	NA	1.0913464746397435e-140	DOWN	3.704293063211213e-144	4	1	3	0.75
ATP5L	2	A2780,PEO1	FALSE	-0.6605790997714351	0.03244055576745711	-20.362755327209836	3.578809068722108e-92	-0.7241614207141143	-0.596996778828756	0	0.02013659661326006	0.8871562483411098	0	-0.6605790997714351	0.03244055576745711	-20.362755327209836	3.578809068722108e-92	NA	NA	NA	NA	7.907825988475088e-89	DOWN	3.578809068722108e-92	2	0	2	1
FOLR1	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-3.1050698290208474	0.15934984915569286	-19.485866133371967	1.4470992565495962e-84	-3.417389794307896	-2.792749863733799	0.03673110940574894	3.6788086184770266	0.15891206036399363	46.30894850667514	-3.02053372961128	0.094966123587832	-31.806433868153597	5.2741996420269684e-222	NA	NA	NA	NA	2.5580373558027213e-81	DOWN	1.4470992565495962e-84	3	0	3	1
ADAMTS5	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.373406097806289	0.0233054069124595	-16.022294706498307	8.929325656599942e-58	-0.4190838559997604	-0.32772833961281755	0	1.0775591448331916	0.5834598885772649	0	-0.373406097806289	0.0233054069124595	-16.022294706498307	8.929325656599942e-58	NA	NA	NA	NA	9.865230601982324e-55	DOWN	8.929325656599942e-58	3	1	2	0.6666666666666666
PCDHA13	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7839699197922151	0.05384027573490768	-14.561030921391126	4.9702563763734114e-48	-0.8894949211503399	-0.6784449184340903	0.00407374464898057	8.043028708721009	0.04513075214212354	37.762783202225705	-0.8199734698792394	0.02176027303242507	-37.68213149979291	0	NA	NA	NA	NA	4.39296109825764e-45	DOWN	4.9702563763734114e-48	4	2	2	0.5
ARMCX5-GPRASP2	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.3762583611707747	0.02774636048971817	-13.560638387517628	6.853698734762078e-42	-0.43064022843268746	-0.32187649390886197	0	1.47054247206973	0.4793754174522763	0	-0.3762583611707747	0.02774636048971817	-13.560638387517628	6.853698734762078e-42	NA	NA	NA	NA	4.4871419457181205e-39	DOWN	6.853698734762078e-42	3	1	2	0.6666666666666666
MARS1	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7453161141134516	0.05543571148355041	-13.444692855337689	3.3077636517220043e-41	-0.8539681120785638	-0.6366641161483393	0	0.995134428030222	0.31849070500755605	0	-0.7453161141134516	0.05543571148355041	-13.444692855337689	3.3077636517220043e-41	NA	NA	NA	NA	2.088262073981781e-38	DOWN	3.3077636517220043e-41	2	0	2	1
PP2D1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.628580756904047	0.04694512794934617	-13.389690993755224	6.946916521483665e-41	-0.7205915169343902	-0.5365699968737039	9.56687562888902e-7	2.818631944316759	0.4204419445330722	5.195716728993145e-4	-0.628583116374385	0.04693530329214967	-13.39254404007486	6.685103374231743e-41	NA	NA	NA	NA	4.2345049431126465e-38	DOWN	6.946916521483665e-41	4	0	4	1
