gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
LTBP1	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.8428811537577717	0.028954292523535676	-29.110749401755562	2.624489780239725e-186	-0.899630524301739	-0.7861317832138045	0	0.5317119710482455	0.7665495137786781	0	-0.8428811537577717	0.028954292523535676	-29.110749401755562	2.624489780239725e-186	NA	NA	NA	NA	4.851041297550602e-183	DOWN	2.624489780239725e-186	3	0	3	1
FAM167A	3	A2780,PEO1,UWB_BRCAdef	FALSE	-1.0894476872687575	0.039619033341010385	-27.498088554852508	1.850511986575955e-166	-1.1670995657194294	-1.0117958088180856	2.351896019950767e-6	1.9851564184073913	0.37061992248208453	0.00347122168338404	-1.0894555593892052	0.03959071613054287	-27.517955366024	1.0706279546727858e-166	NA	NA	NA	NA	2.7363520745498647e-163	DOWN	1.850511986575955e-166	3	0	3	1
AK5	3	A2780,PEO1,UWB_BRCAdef	FALSE	-1.0205094470365155	0.03802736315560688	-26.836187480594432	1.222672559387762e-158	-1.0950417092485303	-0.9459771848245005	5.395686114553544e-7	3.366435556216743	0.18577522977227856	0.003037399427965441	-1.020509126802485	0.038021423079535564	-26.840371668038856	1.0926295465721606e-158	NA	NA	NA	NA	1.5066382613055697e-155	DOWN	1.222672559387762e-158	3	0	3	1
ENDOD1	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.8473226712410089	0.03300065839988431	-25.67593230939839	2.171095607582718e-145	-0.9120027731708914	-0.7826425693111264	0	0.7716491573869402	0.6798897823738531	0	-0.8473226712410089	0.03300065839988431	-25.67593230939839	2.171095607582718e-145	NA	NA	NA	NA	2.2931421963804037e-142	DOWN	2.171095607582718e-145	3	0	3	1
URB1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.6709009539218961	0.026569181544856758	25.25109600343593	1.1016016683684997e-140	0.6188263149952705	0.7229755928485216	5.460552991482267e-6	1.7075669854543731	0.42580086599103484	0.07184645972951233	0.670902713218114	0.026485322416607247	25.331113688743844	1.451301230176907e-141	NA	NA	NA	NA	9.049657705647225e-138	UP	1.1016016683684997e-140	3	3	0	1
USP18	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.9359417247345541	0.04142895953436531	-22.591485165303045	5.255106440234366e-113	-1.0171409933388773	-0.8547424561302308	0	0.5152202885177066	0.7728964915137865	0	-0.9359417247345541	0.04142895953436531	-22.591485165303045	5.255106440234366e-113	NA	NA	NA	NA	3.8853629465872785e-110	DOWN	5.255106440234366e-113	3	0	3	1
NEDD9	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.7321176085529686	0.037895570921715346	19.31934499853233	3.693067101003233e-83	0.6578436543728232	0.806391562733114	2.365131247202845e-6	1.3406484975397892	0.5115426838065636	0.021333937063788156	0.7321190339150205	0.0378724379704878	19.3311831280977	2.9360730472221235e-83	NA	NA	NA	NA	2.1003608931744156e-80	UP	3.693067101003233e-83	3	3	0	1
DNAJB11	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.7660324154678575	0.04065818519191923	-18.84079212714358	3.496929036031119e-79	-0.845720994120779	-0.686343836814936	0.0014549463248764787	1.9154751954948197	0.3837601243539631	19.487951598126195	-0.7805243373568498	0.026401612674960395	-29.56350988729974	4.4030889925531745e-192	NA	NA	NA	NA	1.9151514687330428e-76	DOWN	3.496929036031119e-79	3	0	3	1
GTF2E2	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.7319880638569554	0.040408886768691005	-18.114531787203383	2.447459104120723e-73	-0.8111880265789468	-0.6527881011349639	2.632016210869129e-6	4.130832955631927	0.12676548456034373	0.01874195529183253	-0.7320043592559996	0.040383880848747104	-18.126151916841092	1.9814962420213714e-73	NA	NA	NA	NA	1.2479509576770045e-70	DOWN	2.447459104120723e-73	3	0	3	1
DFFA	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.45402361768111216	0.02545097828525493	17.839142079035586	3.510442630049701e-71	0.4041406168707015	0.5039066184915229	0	0.03868468447751796	0.9808435205929827	0	0.45402361768111216	0.02545097828525493	17.839142079035586	3.510442630049701e-71	NA	NA	NA	NA	1.6744811345337073e-68	UP	3.510442630049701e-71	3	3	0	1
