gene_symbol	k_eff	n_pos	n_neg	concordance
1-Mar	1	1	0	1
1-Sep	1	0	1	1
10-Mar	1	1	0	1
10-Sep	1	0	1	1
11-Sep	1	0	1	1
12-Sep	1	0	1	1
14-Sep	1	1	0	1
2-Mar	1	1	0	1
2-Sep	1	0	1	1
3-Mar	1	1	0	1
3-Sep	1	0	1	1
4-Mar	1	0	1	1
4-Sep	1	0	1	1
5-Mar	1	0	1	1
5-Sep	1	0	1	1
6-Mar	1	1	0	1
6-Sep	1	0	1	1
7-Mar	1	0	1	1
7-Sep	1	0	1	1
8-Mar	1	0	1	1
8-Sep	1	1	0	1
9-Mar	1	0	1	1
9-Sep	1	1	0	1
A1BG	3	1	2	0.6666666666666666
A1BG-AS1	1	0	1	1
A1CF	2	0	2	1
A2M	2	1	1	0.5
A2M-AS1	1	1	0	1
A2ML1	2	1	1	0.5
A3GALT2	1	1	0	1
A4GALT	3	2	1	0.6666666666666666
A4GNT	1	0	1	1
AAAS	3	0	3	1
AACS	3	2	1	0.6666666666666666
AADAC	2	1	1	0.5
AADACL2	1	1	0	1
AADACL4	1	0	1	1
AADACP1	1	0	1	1
AADAT	3	2	1	0.6666666666666666
AAED1	2	1	1	0.5
AAGAB	3	1	2	0.6666666666666666
AAK1	3	1	2	0.6666666666666666
AAMDC	3	0	3	1
AAMP	3	1	2	0.6666666666666666
AANAT	2	1	1	0.5
AAR2	3	2	1	0.6666666666666666
AARD	3	0	3	1
AARS	2	1	1	0.5
AARS1	1	0	1	1
AARS2	3	2	1	0.6666666666666666
AARSD1	2	1	1	0.5
AASDH	3	1	2	0.6666666666666666
AASDHPPT	3	1	2	0.6666666666666666
AASS	3	2	1	0.6666666666666666
AATBC	1	1	0	1
AATF	3	3	0	1
AATK	2	1	1	0.5
ABALON	1	1	0	1
ABAT	3	2	1	0.6666666666666666
ABCA1	3	1	2	0.6666666666666666
ABCA10	1	0	1	1
ABCA11P	1	1	0	1
ABCA12	1	1	0	1
ABCA13	3	2	1	0.6666666666666666
ABCA2	3	1	2	0.6666666666666666
ABCA3	3	2	1	0.6666666666666666
ABCA4	3	0	3	1
ABCA5	3	1	2	0.6666666666666666
ABCA6	1	0	1	1
ABCA7	3	2	1	0.6666666666666666
ABCA8	1	0	1	1
ABCA9	1	0	1	1
ABCB1	2	2	0	1
ABCB10	3	2	1	0.6666666666666666
ABCB11	1	1	0	1
ABCB4	3	3	0	1
ABCB5	2	1	1	0.5
ABCB6	3	0	3	1
ABCB7	3	1	2	0.6666666666666666
ABCB8	3	1	2	0.6666666666666666
ABCB9	3	2	1	0.6666666666666666
ABCC1	3	2	1	0.6666666666666666
ABCC10	3	2	1	0.6666666666666666
ABCC11	2	0	2	1
ABCC12	1	0	1	1
ABCC2	3	2	1	0.6666666666666666
ABCC3	3	2	1	0.6666666666666666
ABCC4	3	2	1	0.6666666666666666
ABCC5	3	1	2	0.6666666666666666
ABCC6	3	1	2	0.6666666666666666
ABCC8	1	0	1	1
ABCC9	2	2	0	1
ABCD1	3	2	1	0.6666666666666666
ABCD2	1	0	1	1
ABCD3	3	1	2	0.6666666666666666
ABCD4	3	0	3	1
ABCE1	3	2	1	0.6666666666666666
ABCF1	3	3	0	1
ABCF2	3	2	1	0.6666666666666666
ABCF3	3	1	2	0.6666666666666666
ABCG1	2	2	0	1
ABCG2	3	2	1	0.6666666666666666
