gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
NIBAN1	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.376083559044485	0.12729281231988426	-10.810379109123735	3.073970493525308e-27	-1.625572886682275	-1.1265942314066957	0.025745226688584	4.863279621278731	0.02743413848266488	79.43774411768113	-1.371858337124541	0.0576734397292617	-23.7866571434702	4.590237614699518e-125	NA	NA	NA	NA	9.703317216794084e-25	DOWN	3.073970493525308e-27	2	0	2	1
DNAJB11	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6607257322922406	0.07543822867853961	-8.758500084986771	1.9786557379882767e-18	-0.8085819435596748	-0.5128695210248064	0.01690770945115456	17.86414147668515	4.6915766862349424e-4	79.28892569124177	-0.7415679528622574	0.02455095095997064	-30.205263904903507	2.0200740704846635e-200	NA	NA	NA	NA	3.3631439885018044e-16	DOWN	1.9786557379882767e-18	4	0	4	1
NFASC	2	A2780,PEO1	FALSE	1.0681806397826958	0.132198501252364	8.08012670085845	6.469951651379286e-16	0.8090763385178892	1.3272849410475025	0.02912704745913625	5.51632345226822	0.01883981361025988	81.87198396444981	0.988442083661224	0.03879542759130864	25.478313941374505	3.42901840280898e-143	NA	NA	NA	NA	8.730483613849744e-14	UP	6.469951651379286e-16	2	2	0	1
FKBP9	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.9107726688760563	0.11554808169745888	-7.882196359267522	3.2167598723875777e-15	-1.1372427474857676	-0.6843025902663453	0.04694180537158911	29.93121345242364	1.4268086061199396e-6	89.99379413411245	-1.0436356485304217	0.02931398293100475	-35.601973671977234	1.305813549186921e-277	NA	NA	NA	NA	4.0328130683826387e-13	DOWN	3.2167598723875777e-15	4	0	4	1
LINC00472	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	1.9696257400238424	0.2506453735204275	7.858217019367081	3.8963980578891316e-15	1.4783698350322152	2.4608816450154696	0.11371763665851492	10.53229191698873	0.00117306645822582	90.5053903947821	1.976875130869783	0.07719308073393608	25.60948613624508	1.196128561191761e-144	NA	NA	NA	NA	4.783099199257373e-13	UP	3.8963980578891316e-15	2	2	0	1
TMEM139	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.177809118305574	0.15275467745966664	7.710461884982624	1.2536319149424644e-14	0.8784154520145951	1.4772027845965532	0.07718827536271185	19.99225989597385	1.7037053098346516e-4	87.6139459885097	1.3139167343559937	0.04761548717465561	27.59431462995415	1.3019985925653637e-167	NA	NA	NA	NA	1.4579244316077593e-12	UP	1.2536319149424644e-14	4	4	0	1
NARS	2	A2780,PEO1	FALSE	-0.6409554330703807	0.09029746976870878	-7.098265706803826	1.2633212853401065e-12	-0.8179352217121443	-0.4639756444286171	0.01252063669139159	4.154826556119719	0.04151602554772511	75.93160661479162	-0.6710584021252097	0.04007587619555108	-16.744696955614046	6.190491948329879e-63	NA	NA	NA	NA	1.207120560051733e-10	DOWN	1.2633212853401065e-12	2	0	2	1
KYAT3	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.9244045626538816	0.1305596586294141	-7.080323067309401	1.4381878052856521e-12	-1.180296791401377	-0.6685123339063859	0.03969727816122004	8.956932722081477	0.0113508078538075	77.63029544826772	-0.9250764146359768	0.06174410367834136	-14.982425195694852	9.566159679734741e-51	NA	NA	NA	NA	1.366819668496477e-10	DOWN	1.4381878052856521e-12	3	0	3	1
SPATS2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.9637059041847936	0.1365274336154117	-7.058697865071471	1.680700535013177e-12	-1.2312947569726835	-0.6961170513969035	0.06264935273368412	43.23749218679602	2.1912162890760926e-9	89.38391110756294	-0.7759529728833787	0.03390001746115915	-22.889456436782805	5.917389701503778e-116	NA	NA	NA	NA	1.580305497735528e-10	DOWN	1.680700535013177e-12	4	0	4	1
ACP6	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.8381864194500555	0.11885825952616123	-7.051982948358476	1.7638582264757725e-12	-1.0711443273864465	-0.6052285115136646	0.0478373720992646	20.417309358095967	1.3908110689513418e-4	88.84754774134777	-0.9084971653135246	0.020666818146462	-43.959218050653455	0	NA	NA	NA	NA	1.649720733831335e-10	DOWN	1.7638582264757725e-12	4	0	4	1
MYH9	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.7620882103069969	0.10917904228772882	6.980169401913245	2.948243492153601e-12	0.548101219556473	0.9760752010575208	0.0372890319672028	12.320919630227062	0.00636091053373342	80.38341548006524	0.7353459706909486	0.04135094926155002	17.78304933315537	9.56341775142569e-71	NA	NA	NA	NA	2.7143802193124584e-10	UP	2.948243492153601e-12	4	4	0	1
PFN2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.4670101320114879	0.06933092933719213	-6.735956613824925	1.6285487990881958e-11	-0.6028962565270759	-0.3311240074958999	0.01426648198909154	9.80430420417095	0.02030500832867035	76.88045010370007	-0.49030307393753014	0.02927047658560962	-16.750771805969844	5.589637252525067e-63	NA	NA	NA	NA	1.3708503391181921e-9	DOWN	1.6285487990881958e-11	4	0	4	1
