pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection
REACTOME_KERATINIZATION	6.4945845710366e-11	3.4226460689362885e-8	0.8390889356212738	0.7455348637749245	2.5121195089466695	70		REACTOME
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	4.0844016018787375e-11	3.4226460689362885e-8	0.851339057116899	0.7449784728189469	2.473149789203111	64		REACTOME
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	1.423208523814861e-6	5.000205947002878e-4	0.6435518361507222	0.6944272543167164	2.168743593557457	49		REACTOME
REACTOME_DNA_REPLICATION	5.499892959330442e-6	0.0014492217947835715	0.610526878385931	0.5139024874845981	1.9279311317211705	147		REACTOME
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	1.757449817804341e-5	0.003704704215931551	0.5756102610711286	0.6511893900297849	2.1096726214614603	56		REACTOME
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	2.822736067162143e-5	0.004250234021126999	0.5756102610711286	0.7568602461277644	2.105616835687713	26		REACTOME
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	2.7499147258221027e-5	0.004250234021126999	0.5756102610711286	0.555096300440417	1.9648071162236553	91		REACTOME
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	3.8765127455339176e-5	0.0051073055422409365	0.557332238758646	0.684945101639867	2.0670631270671582	38		REACTOME
REACTOME_BASE_EXCISION_REPAIR	5.177422865722714e-5	0.005457003700471741	0.557332238758646	0.6074100887624403	1.9853304562737295	60		REACTOME
REACTOME_REPRODUCTION	4.761791935932169e-5	0.005457003700471741	0.557332238758646	0.5289501242589564	1.8887348323667386	100		REACTOME
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	6.680864728624912e-5	0.005462118905723494	0.5384340963099162	0.7229942914284753	2.146050717263916	33		REACTOME
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	7.636943187455757e-5	0.005462118905723494	0.5384340963099162	0.7195344990679394	2.0826987573252502	30		REACTOME
REACTOME_MEIOTIC_RECOMBINATION	7.171066277600047e-5	0.005462118905723494	0.5384340963099162	0.65893150964442615	2.045834349398268	47		REACTOME
REACTOME_TELOMERE_MAINTENANCE	8.29164160261631e-5	0.005462118905723494	0.5384340963099162	0.5555319775778595	1.9481495161922413	83		REACTOME
REACTOME_CHROMOSOME_MAINTENANCE	7.842954423904899e-5	0.005462118905723494	0.5384340963099162	0.5181172202718387	1.8836211576468032	110		REACTOME
REACTOME_DNA_REPLICATION_PRE_INITIATION	6.259738792700435e-5	0.005462118905723494	0.5384340963099162	0.5081779473864823	1.8484817673294358	112		REACTOME
REACTOME_MEIOTIC_SYNAPSIS	8.947929837572425e-5	0.0055477164992949034	0.5384340963099162	0.6547762279234951	2.014265536946892	45		REACTOME
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	1.0110364494711562e-4	0.005920180098569993	0.5384340963099162	-0.7945023377200323	-1.9965259592543794	15		REACTOME
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	1.2297149222085236e-4	0.006821681726356757	0.5188480777437918	0.7206049600623159	2.0407593983759202	27		REACTOME
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	1.3979491967278205e-4	0.007023860963778217	0.5188480777437918	0.7116640935146551	2.0706363787588926	31		REACTOME
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	1.4168207724838042e-4	0.007023860963778217	0.5188480777437918	0.6560267363361973	1.9797917728065608	38		REACTOME
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	1.4660810360827398e-4	0.007023860963778217	0.5188480777437918	0.6067368459381803	1.9425287320788103	54		REACTOME
REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN	1.7131829864640378e-4	0.007850847251013461	0.5188480777437918	0.7307819607589865	2.094473216324523	29		REACTOME
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	1.8097408752070293e-4	0.00794777867695087	0.5188480777437918	0.6391116073627847	1.9842980041241134	47		REACTOME
REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	2.12667661102197e-4	0.008966068592068626	0.5188480777437918	0.7842462443953728	2.03506469321275	18		REACTOME
REACTOME_MEIOSIS	2.2407731400179347e-4	0.009083749575303474	0.5188480777437918	0.5470156734257194	1.8822596638008022	75		REACTOME
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	2.364115080556796e-4	0.009228804795951345	0.5188480777437918	0.5450920707200181	1.864346261923089	73		REACTOME
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	2.6535576616948994e-4	0.009957938853199988	0.49849310876659025	0.6925451297236981	2.0045777970835146	30		REACTOME
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	2.739850348603412e-4	0.009957938853199988	0.49849310876659025	0.6136918568737038	1.935161552442517	50		REACTOME
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	2.917983382989531e-4	0.010111175895913609	0.49849310876659025	0.6748777866195715	2.0209952847423835	35		REACTOME
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	3.001925584053983e-4	0.010111175895913609	0.49849310876659025	0.6279961584514051	1.946195102257472	44		REACTOME
REACTOME_ARACHIDONATE_METABOLISM	3.069806723617035e-4	0.010111175895913609	0.49849310876659025	0.6225904506397604	1.9233653276915832	43		REACTOME
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	3.419552244991689e-4	0.010921842624912848	0.49849310876659025	0.6262335721235143	1.941049047374301	46		REACTOME
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	4.899096692188327e-4	0.015187199745783812	0.47727081536286214	0.45215492911514005	1.696282048505133	147		REACTOME
REACTOME_DNA_METHYLATION	6.12671884037451e-4	0.018450176165013522	0.47727081536286214	0.6920849885740936	1.9254093620638537	26		REACTOME
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	7.588018329281028e-4	0.02219868661765683	0.47727081536286214	0.5916638700709442	1.8657004496741547	50		REACTOME
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	8.003321550957871e-4	0.02219868661765683	0.47727081536286214	0.5442791784437613	1.831806625751574	69		REACTOME
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	7.9455358357885e-4	0.02219868661765683	0.47727081536286214	0.5271512621378032	1.7969230582818552	72		REACTOME
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	8.885749186376627e-4	0.024014306775489654	0.47727081536286214	0.5178849178777393	1.782021866589951	75		REACTOME
REACTOME_HOMOLOGY_DIRECTED_REPAIR	0.0010361736470527647	0.02730317559984035	0.45505986738722953	0.4770949678935947	1.74627620475617	117		REACTOME
REACTOME_DNA_STRAND_ELONGATION	0.001116185217170858	0.02801093378328772	0.45505986738722953	0.6701451879816236	1.9776167466404089	32		REACTOME
REACTOME_HCMV_EARLY_EVENTS	0.0010918320851598573	0.02801093378328772	0.45505986738722953	0.4799703368338795	1.6956811564380718	89		REACTOME
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.001158507595964432	0.02809972809996013	0.45505986738722953	0.5299085498941928	1.8176319827375313	74		REACTOME
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	0.0011730436777971972	0.02809972809996013	0.45505986738722953	0.5422286003490189	1.8052706277410786	65		REACTOME
REACTOME_G2_M_CHECKPOINTS	0.0012184292887220212	0.028538321562511338	0.45505986738722953	0.4417741328165418	1.6383310658624968	134		REACTOME
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	0.0012636556089140726	0.02895419590859636	0.45505986738722953	0.5740870246687564	1.8102751820018481	50		REACTOME
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	0.0014672140398587729	0.03221757495856555	0.45505986738722953	0.5558198273820821	1.8119372421301831	58		REACTOME
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	0.0014559009922459941	0.03221757495856555	0.45505986738722953	0.5364035979440956	1.7858771362480803	65		REACTOME
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	0.0015510565677750116	0.03336354331499719	0.45505986738722953	-0.7318966577457067	-1.839202488534072	15		REACTOME
