gene_id	A2780_down	UWB_BRCAdef_down	PEO1_down
PRAME	TRUE	FALSE	FALSE
MMP10	TRUE	FALSE	FALSE
SLIT2	TRUE	FALSE	TRUE
SLC2A3	TRUE	FALSE	TRUE
MMP1	TRUE	FALSE	FALSE
VIM	TRUE	FALSE	TRUE
COL5A2	TRUE	FALSE	FALSE
TENM2	TRUE	FALSE	FALSE
COL3A1	TRUE	FALSE	FALSE
SDC2	TRUE	FALSE	FALSE
INA	TRUE	FALSE	FALSE
SERPINB1	TRUE	TRUE	FALSE
MAGED1	TRUE	TRUE	FALSE
IGFBPL1	TRUE	FALSE	FALSE
GNB4	TRUE	TRUE	FALSE
PDE4B	TRUE	FALSE	TRUE
ALDH1A1	TRUE	FALSE	FALSE
HGF	TRUE	FALSE	FALSE
EPHA5	TRUE	FALSE	FALSE
CRISPLD1	TRUE	FALSE	FALSE
DDR2	TRUE	TRUE	FALSE
NRIP3	TRUE	FALSE	FALSE
FGF5	TRUE	TRUE	FALSE
NEFH	TRUE	FALSE	FALSE
ARHGEF9	TRUE	TRUE	FALSE
DLGAP1	TRUE	FALSE	FALSE
ROBO2	TRUE	FALSE	FALSE
COLGALT2	TRUE	TRUE	FALSE
NLRP2	TRUE	TRUE	TRUE
ROBO1	TRUE	FALSE	FALSE
ANXA6	TRUE	FALSE	TRUE
NR2F1	TRUE	FALSE	TRUE
MYEF2	TRUE	FALSE	FALSE
MMP3	TRUE	FALSE	FALSE
GOLGA8M	TRUE	FALSE	FALSE
MFGE8	TRUE	FALSE	FALSE
FAM26D	TRUE	FALSE	FALSE
ANKRD1	TRUE	FALSE	FALSE
SLC7A2	TRUE	FALSE	TRUE
OLFM3	TRUE	FALSE	FALSE
CHST10	TRUE	FALSE	FALSE
RDH10	TRUE	FALSE	FALSE
ITGA5	TRUE	TRUE	FALSE
RBM24	TRUE	FALSE	FALSE
ZPLD1	TRUE	FALSE	FALSE
SERPINF1	TRUE	FALSE	FALSE
APELA	TRUE	FALSE	FALSE
ZC4H2	TRUE	TRUE	FALSE
GFY	TRUE	FALSE	FALSE
CITED2	TRUE	FALSE	FALSE
MTX3	TRUE	FALSE	TRUE
PTPRC	TRUE	TRUE	FALSE
AKAP12	TRUE	FALSE	FALSE
CLDN16	TRUE	TRUE	TRUE
GYG2	TRUE	FALSE	FALSE
LAMB2	TRUE	FALSE	FALSE
CPEB1	TRUE	FALSE	FALSE
SLITRK5	TRUE	TRUE	FALSE
FGFR2	TRUE	FALSE	TRUE
RAB39B	TRUE	TRUE	FALSE
CPE	TRUE	TRUE	FALSE
MLF1	TRUE	FALSE	FALSE
MAP2	TRUE	FALSE	TRUE
TAGLN	TRUE	FALSE	FALSE
TNFRSF10D	TRUE	TRUE	FALSE
CACNA1H	TRUE	FALSE	FALSE
ZNF711	TRUE	TRUE	FALSE
ANO3	TRUE	FALSE	FALSE
CTGF	TRUE	FALSE	FALSE
SALL2	TRUE	FALSE	FALSE
ROR2	TRUE	FALSE	FALSE
CPQ	TRUE	FALSE	FALSE
SYNPO2	TRUE	FALSE	FALSE
CREM	TRUE	FALSE	FALSE
GPR65	TRUE	FALSE	FALSE
FBXO17	TRUE	FALSE	FALSE
UCHL1	TRUE	FALSE	TRUE
SH3BGRL	TRUE	TRUE	FALSE
MTHFD1L	TRUE	FALSE	FALSE
ZNF347	TRUE	FALSE	FALSE
DUSP6	TRUE	FALSE	FALSE
PNMAL1	TRUE	FALSE	TRUE
GPC5	TRUE	FALSE	FALSE
NFATC1	TRUE	FALSE	FALSE
GULP1	TRUE	TRUE	FALSE
SLC43A1	TRUE	FALSE	FALSE
SPOCK2	TRUE	FALSE	TRUE
ULBP1	TRUE	FALSE	FALSE
TRIM58	TRUE	FALSE	FALSE
ZNF280B	TRUE	FALSE	FALSE
TSC22D3	TRUE	FALSE	FALSE
SHOX2	TRUE	FALSE	FALSE
KIF1A	TRUE	FALSE	FALSE
SLC30A8	TRUE	FALSE	FALSE
ITPRIPL1	TRUE	FALSE	FALSE
