gene_id	A2780_up	UWB_BRCAdef_up	PEO1_up
TACSTD2	TRUE	FALSE	FALSE
IRF6	TRUE	FALSE	FALSE
ZBTB7C	TRUE	FALSE	FALSE
TGFBI	TRUE	TRUE	FALSE
TRIM29	TRUE	TRUE	FALSE
C1orf116	TRUE	FALSE	FALSE
KRT5	TRUE	FALSE	FALSE
GRHL2	TRUE	FALSE	FALSE
IL1B	TRUE	FALSE	FALSE
FAT2	TRUE	FALSE	FALSE
INPP5D	TRUE	FALSE	FALSE
ST6GALNAC2	TRUE	FALSE	FALSE
GLUL	TRUE	FALSE	FALSE
AKR1B10	TRUE	FALSE	FALSE
TNS4	TRUE	TRUE	FALSE
FABP5	TRUE	FALSE	FALSE
CDH1	TRUE	FALSE	FALSE
KRT17	TRUE	FALSE	TRUE
CPA4	TRUE	FALSE	FALSE
THBS1	TRUE	TRUE	FALSE
ADRB2	TRUE	FALSE	TRUE
CA2	TRUE	TRUE	TRUE
KRT4	TRUE	FALSE	FALSE
ALDH1A3	TRUE	FALSE	FALSE
NLRP1	TRUE	FALSE	TRUE
HOTS	TRUE	FALSE	FALSE
TIMP3	TRUE	TRUE	FALSE
PTGES	TRUE	FALSE	FALSE
HTATIP2	TRUE	FALSE	FALSE
MUC4	TRUE	FALSE	FALSE
TSPAN1	TRUE	FALSE	FALSE
KCNK1	TRUE	FALSE	FALSE
WFDC2	TRUE	FALSE	FALSE
ANO1	TRUE	TRUE	FALSE
EGFLAM	TRUE	FALSE	FALSE
MYO10	TRUE	FALSE	TRUE
XDH	TRUE	FALSE	FALSE
FAM83A	TRUE	FALSE	FALSE
MAP3K21	TRUE	FALSE	FALSE
CDH3	TRUE	FALSE	FALSE
PTGS1	TRUE	FALSE	FALSE
UGT1A6	TRUE	FALSE	FALSE
RAC2	TRUE	FALSE	FALSE
PTAFR	TRUE	FALSE	FALSE
PXMP4	TRUE	TRUE	FALSE
ALDH3A1	TRUE	TRUE	FALSE
SPINT1	TRUE	FALSE	FALSE
SYK	TRUE	TRUE	FALSE
LY6D	TRUE	FALSE	FALSE
FXYD3	TRUE	FALSE	FALSE
WLS	TRUE	FALSE	FALSE
KRT8	TRUE	FALSE	FALSE
BTBD11	TRUE	FALSE	TRUE
1-Mar	TRUE	FALSE	FALSE
ARAP3	TRUE	TRUE	TRUE
IRX2	TRUE	FALSE	FALSE
FGFBP1	TRUE	FALSE	FALSE
MLH1	TRUE	FALSE	FALSE
PADI3	TRUE	FALSE	FALSE
EFNB2	TRUE	FALSE	FALSE
TP63	TRUE	FALSE	FALSE
MAL2	TRUE	FALSE	FALSE
FBN2	TRUE	TRUE	FALSE
MAPK13	TRUE	FALSE	FALSE
EPAS1	TRUE	FALSE	FALSE
CD44	TRUE	FALSE	FALSE
NRP2	TRUE	FALSE	FALSE
HAS3	TRUE	FALSE	FALSE
KRT15	TRUE	FALSE	FALSE
ADIRF	TRUE	TRUE	FALSE
KRT19	TRUE	FALSE	FALSE
CDCP1	TRUE	FALSE	FALSE
BDH1	TRUE	FALSE	FALSE
TMEM40	TRUE	FALSE	TRUE
ADORA2B	TRUE	FALSE	TRUE
MEST	TRUE	FALSE	FALSE
PAX7	TRUE	FALSE	FALSE
SLCO3A1	TRUE	FALSE	FALSE
PROM2	TRUE	TRUE	FALSE
MAST4	TRUE	FALSE	FALSE
SYT8	TRUE	TRUE	FALSE
SOX7	TRUE	FALSE	TRUE
EPHX2	TRUE	FALSE	FALSE
SEMA5A	TRUE	FALSE	FALSE
ZNF512	TRUE	FALSE	FALSE
ASS1	TRUE	TRUE	FALSE
CDCA7L	TRUE	FALSE	FALSE
FOSL1	TRUE	FALSE	TRUE
TSTD1	TRUE	FALSE	FALSE
SRPX2	TRUE	FALSE	FALSE
AMOTL1	TRUE	FALSE	FALSE
BASP1	TRUE	TRUE	FALSE
DSG3	TRUE	FALSE	FALSE
SATB1	TRUE	FALSE	FALSE
BNC1	TRUE	FALSE	FALSE
SLC2A10	TRUE	TRUE	FALSE
GRAMD2	TRUE	FALSE	FALSE
CAPN2	TRUE	FALSE	TRUE
LAD1	TRUE	FALSE	FALSE
P4HTM	TRUE	FALSE	FALSE
EIF4A1	TRUE	FALSE	FALSE
NOS1	TRUE	TRUE	FALSE
NPNT	TRUE	FALSE	FALSE
GPR87	TRUE	FALSE	FALSE
JAG1	TRUE	FALSE	FALSE
PARP12	TRUE	FALSE	TRUE
CREG2	TRUE	FALSE	FALSE
RIN2	TRUE	FALSE	FALSE
ANKRD33B	TRUE	FALSE	TRUE
HENMT1	TRUE	FALSE	FALSE
